remote_station_s,remote_station_ns,vehicle_s,vehicle_ns,,m2m_latency_ms
1762873446,595955816,1762873447,544941921,,948.986105
1762873448,737043562,1762873449,708070491,,971.026929
1762873451,235453334,1762873452,134604084,,899.15075
1762873453,819110603,1762873454,702347331,,883.236728
1762873456,134609680,1762873456,834387998,,699.778318
1762873458,27928658,1762873458,858547813,,830.619155
1762873460,315989402,1762873461,50519910,,734.530508
1762873462,330234218,1762873463,252467081,,922.232863
1762873464,518199309,1762873465,327837075,,809.637766
1762873466,371194767,1762873467,183006470,,811.811703
1762873613,103763907,1762873613,908281177,,804.51727
1762873615,984099171,1762873616,703694022,,719.594851
1762873617,717918764,1762873618,606554165,,888.635401
1762873620,208389070,1762873620,938433211,,730.044141
1762873622,409759269,1762873623,217392008,,807.632739
1762873624,973244857,1762873625,658178010,,684.933153
1762873626,783239606,1762873627,545140640,,761.901034
1762873629,348598255,1762873629,997005358,,648.407103
1762873631,230359704,1762873632,135741382,,905.381678
1762873638,947901193,1762873639,827265506,,879.364313
1762873645,548415481,1762873646,291287607,,742.872126
1762874069,831894340,1762874070,697256896,,865.362556
1762874072,764199397,1762874073,491528748,,727.329351
1762874074,723915295,1762874075,571017435,,847.10214
1762874077,104999022,1762874077,842345041,,737.346019
1762874079,352868826,1762874080,132917501,,780.048675
1762874081,915023427,1762874082,552552297,,637.52887
1762874083,922028656,1762874084,689867423,,767.838767
1762874086,445932523,1762874087,80946337,,635.013814
1762874088,833729841,1762874089,534991547,,701.261706
1762874096,799042774,1762874097,417875715,,618.832941
1762874103,388946084,1762874104,156324062,,767.377978
1762874240,945042532,1762874241,659211855,,714.169323
1762874243,671660858,1762874244,564915154,,893.254296
1762874246,437911578,1762874247,133398289,,695.486711
1762874248,818895252,1762874249,656040444,,837.145192
1762874250,872021132,1762874251,572314917,,700.293785
1762874252,864025052,1762874253,652742232,,788.71718
1762874255,6378512,1762874255,713350347,,706.971835
1762874257,255066155,1762874258,45865906,,790.799751
1762874259,641200822,1762874260,339548514,,698.347692
1762874261,325489691,1762874262,149096253,,823.606562
1762874267,815069445,1762874268,430954968,,615.885523
1762874475,397798328,1762874476,64098647,,666.300319
1762874477,520296744,1762874478,370260442,,849.963698
1762874480,315482786,1762874481,148085147,,832.602361
1762874482,39816452,1762874482,948136648,,908.320196
1762874484,108307052,1762874484,908466754,,800.159702
1762874486,364733598,1762874487,201326038,,836.59244
1762874489,268376623,1762874489,962046225,,693.669602
1762874490,790030473,1762874491,700527164,,910.496691
1762874493,169457123,1762874493,856657965,,687.200842
1762874495,24768269,1762874495,904186704,,879.418435
1762874502,877855843,1762874503,550392544,,672.536701
1762874641,882783724,1762874642,555893893,,673.110169
1762874644,509404842,1762874645,325193702,,815.78886
1762874647,712493657,1762874648,400002341,,687.508684
1762874650,693409314,1762874651,383483777,,690.074463
1762874653,397767893,1762874654,80656851,,682.888958
1762874655,195597357,1762874655,892614052,,697.016695
1762874657,647987870,1762874658,280035475,,632.047605
1762874659,768091374,1762874660,573511507,,805.420133
1762874663,171588794,1762874663,855359086,,683.770292
1762874664,996239670,1762874665,823919511,,827.679841
1762874670,13008202,1762874670,732764284,,719.756082
1762874883,138423780,1762874884,51468595,,913.044815
1762874886,882773825,1762874887,660222412,,777.448587
1762874890,135874376,1762874891,173670766,,1037.79639
1762874893,937883574,1762874894,571797373,,633.913799
1762874896,421058986,1762874897,240235868,,819.176882
1762874899,344414043,1762874900,79346887,,734.932844
1762874902,201947243,1762874903,91685113,,889.73787
1762874910,312603083,1762874910,993452844,,680.849761
